Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
46,40.6663,-88.0229,266.157,492.12,386.31,333.03,159.09,908.41,457.24,136.46,210.076,73.6042,416.29,0.0285386,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511,bepridil,31.5,15
47,41.0535,-88.042,267.556,506.81,394.92,338.49,168.32,912.78,461.3,138.852,212.571,73.7072,405.97,0.0261831,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352,bepridil,31.5,15
48,40.9262,-88.0283,266.364,493.44,388.16,334.66,158.78,923.51,469.8,127.642,199.611,71.9583,430.07,0.0279511,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059,bepridil,31.5,15
49,40.7442,-88.0277,266.238,488.97,387.35,334.74,154.23,937.98,480.2,118.784,189.869,71.0747,449.01,0.0296945,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884,bepridil,31.5,15
50,40.69,-88.039,267.446,479.86,378.97,327.76,152.1,928.8,471.86,120.948,192.621,71.6629,448.94,0.0332491,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398,bepridil,31.5,15
51,40.891,-88.0326,266.96,499.36,392.53,337.96,161.4,937.3,480.99,121.559,192.804,71.2352,437.94,0.0307208,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625,bepridil,31.5,15
52,40.7764,-88.0179,265.759,488.55,383.84,331.13,157.42,913.15,461.22,131.745,204.097,72.3412,424.6,0.0316011,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849,bepridil,31.5,15
53,40.9613,-88.0235,266.102,492.46,387.42,333.33,159.13,914.05,462.24,133.686,206.753,73.0548,421.59,0.0305177,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267,bepridil,31.5,15
54,40.7609,-88.0101,265.135,492.24,388.12,334.02,158.22,929.51,474.21,124.238,196.101,71.8527,437.27,0.0302012,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251,bepridil,31.5,15
55,40.8564,-88.0385,267.42,493.31,388.6,335.26,158.05,912.84,461.39,134.416,207.33,72.9023,419.53,0.0293307,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955,bepridil,31.5,15
56,40.5372,-88.0248,266.298,497.8,390.8,335.58,162.22,930.59,475.16,125.034,197.338,72.2936,432.79,0.030518,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178,bepridil,31.5,15
57,40.8094,-88.0259,266.224,484.8,382.35,330,154.8,913.82,461.44,131.117,203.846,72.7182,429.02,0.0325947,0,0,57,1.00769,0.951224,0.965818,1.01169,1.01568,1.04843,0.989325,1.0038,1.01504,bepridil,31.5,15
58,40.7336,-88.0081,265.118,505.67,396.16,339.94,165.73,929.21,475.28,127.625,199.478,71.8423,423.54,0.0292336,0,0,58,1.01416,0.96773,0.998097,0.95651,0.972623,0.973278,1.0482,0.958411,1.024,bepridil,31.5,15
59,41.0545,-88.025,266.258,498.51,390.46,336.33,162.18,931.1,476.06,124.481,196.135,71.6436,432.59,0.0281271,0,0,59,1.03193,1.0264,0.956209,1.0246,0.987812,0.952373,1.03733,0.999518,1.01356,bepridil,31.5,15
60,40.5273,-88.0347,267.077,495.87,392.52,338.59,157.28,937.59,480.66,121.086,192.689,71.5924,441.72,0.0286748,0,0,60,1.02648,1.03945,1.04297,1.02149,0.966228,1.02178,1.01002,1.02276,0.961179,bepridil,31.5,15
61,40.7375,-88.027,266.545,498.29,389.84,335.21,163.08,934.54,478.22,122.406,194.186,71.7696,436.25,0.0302378,0,0,61,1.04223,0.998348,0.961419,0.985118,1.00773,0.95444,1.00825,0.995534,0.969112,bepridil,31.5,15
62,40.4472,-88.0168,265.697,496.94,392.71,338.15,158.79,934.61,478.52,122.743,194.463,71.71,437.67,0.0307082,0,0,62,1.04606,0.978803,1.00834,0.991717,0.953089,1.02474,1.01907,0.974766,0.964956,bepridil,31.5,15
63,40.9142,-88.0291,266.652,502.39,393.98,338.35,164.04,919.91,467.56,132.861,205.553,72.6805,417.52,0.0275164,0,0,63,0.995554,1.0187,1.03343,0.963715,1.01325,0.99677,1.00333,1.01721,1.0416,bepridil,31.5,15
64,40.7823,-88.0197,266.053,501.7,391.56,335.97,165.73,910.89,459.69,137.715,211.214,73.4874,409.19,0.0301021,0,0,64,1.04381,0.959562,0.993837,0.953649,0.990486,0.963762,0.971673,0.985268,1.0312,bepridil,31.5,15
65,40.7998,-88.0444,267.795,490.43,385.47,332.44,157.99,943.03,483.51,115.915,186.821,70.8959,452.6,0.0313883,0,0,65,0.990519,1.00187,0.950784,1.00458,1.04477,0.990999,1.02425,1.04116,0.954127,bepridil,31.5,15
66,40.3966,-88.0067,265.029,492.89,387.66,333.47,159.42,922.68,468.66,127.747,200.149,72.3904,429.79,0.0318179,0,0,66,1.0324,0.97133,1.01646,0.974588,1.01943,1.01272,1.00183,0.950965,0.974258,bepridil,31.5,15
67,40.586,-88.0149,265.636,491.21,384.61,331.12,160.09,911.58,459.6,133.792,207.193,73.3891,420.37,0.0305937,0,0,67,0.962069,1.01009,1.00408,1.01229,1.02202,0.96833,0.959174,0.970801,0.983291,bepridil,31.5,15
68,40.4734,-88.022,266.03,496.61,392.23,337.24,159.37,923.25,469.59,129.898,203.029,73.1201,426.64,0.0296073,0,0,68,0.974755,1.01461,1.02548,0.978867,0.968799,1.04253,0.950682,0.98797,0.953418,bepridil,31.5,15
69,40.7403,-88.0083,265.054,498.74,392.21,336.69,162.05,925.34,471.56,128.615,201.025,72.3995,426.6,0.0283366,0,0,69,0.979146,1.02907,0.99173,0.957847,1.0328,1.03121,1.00748,0.961692,0.993444,bepridil,31.5,15
70,40.7517,-88.044,267.856,499.9,394.17,339.09,160.81,923.96,470.59,130.565,203.531,72.9551,424.06,0.0281239,0,0,70,1.00288,1.02366,1.03658,0.986587,0.961683,1.01983,0.9587,1.04955,0.99288,bepridil,31.5,15
