Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
72,37.0647,-87.9585,259.972,207.66,160.12,139.23,68.43,951,400.97,54.736,118.228,63.4876,743.34,0.0915647,0,0,72,0.839699,0.812878,1.126,1.00816,0.977533,1.21374,0.769033,0.724405,1.00867,diltiazem,127.5,9
74,37.0776,-87.9457,258.935,304.59,244.44,216.83,87.76,1035.69,471.09,47.4865,105.161,57.6724,731.1,0.0683986,0,0,74,0.815189,1.00534,1.18988,0.747854,0.838651,1.04459,1.22723,0.739535,1.19096,diltiazem,127.5,9
77,39.13,-88.1605,275.372,201.79,159.31,141.12,60.67,1011.83,422.04,40.168,95.7073,55.537,810.04,0.0939563,0,0,77,1.08615,0.882234,1.10344,1.21434,0.918293,1.26615,1.1999,1.26954,1.28229,diltiazem,127.5,9
78,39.1632,-88.0873,269.158,296.21,239.39,212.64,83.57,1055.15,478.57,43.0068,99.8965,56.8869,758.94,0.0664421,0,0,78,0.836411,1.13052,0.75564,0.798775,1.20126,1.19653,1.21076,1.06536,1.15816,diltiazem,127.5,9
79,38.5405,-88.0442,266.437,226.14,177.67,155.16,70.98,1010.73,433.45,42.7669,104.032,61.2612,784.59,0.0784764,0,0,79,0.720545,1.26516,0.823922,1.12072,1.14973,1.1853,0.816303,0.918126,0.756191,diltiazem,127.5,9
80,38.4207,-88.0968,270.892,240.54,189.35,165.99,74.55,1019.97,441.48,42.5424,102.592,60.0469,779.43,0.076478,0,0,80,0.80261,1.28646,1.25416,1.08805,1.02445,1.05005,0.88209,1.06207,0.803689,diltiazem,127.5,9
81,38.9288,-88.1322,274.305,291.63,229.51,202.53,89.1,1021.45,461.58,49.0359,108.735,59.6949,729.82,0.0738295,0,0,81,1.23162,1.00733,1.14508,0.795896,1.09781,0.919451,0.996333,1.16869,1.1534,diltiazem,127.5,9
82,39.3002,-88.1466,275.604,186.63,142.34,124.23,62.4,1002.16,412.9,39.6541,98.5974,58.9397,815.53,0.0964877,0,0,82,0.747081,0.931358,0.873934,1.26553,1.28057,1.08001,0.897249,1.17137,0.930695,diltiazem,127.5,9
83,38.3402,-88.0781,269.675,210.02,162.38,142.85,67.17,980.55,412.99,47.6587,106.686,59.024,770.53,0.0920298,0,0,83,0.736848,0.838504,1.09613,1.11187,0.833246,1.03833,0.99128,0.992827,1.2363,diltiazem,127.5,9
84,38.7207,-88.0628,267.651,264.93,210.03,185.15,79.78,1042.31,458.01,41.1482,97.8659,56.7154,777.38,0.0801665,0,0,84,1.17918,0.893318,0.727205,0.840654,1.00862,1.15327,1.16674,0.961108,1.05572,diltiazem,127.5,9
86,38.656,-88.0928,270.032,276.26,221.05,195.06,81.2,1039.26,462.26,43.2948,100.297,56.9994,763,0.0824396,0,0,86,1.13029,0.776277,0.898305,0.764603,0.796673,1.25997,1.16386,1.04095,1.11636,diltiazem,127.5,9
87,36.9457,-87.9545,260.343,225.64,171.68,149.45,76.19,973.34,413.95,50.6145,112.137,61.5194,747.7,0.0865597,0,0,87,0.994392,0.909756,1.23969,0.979514,1.27593,0.903481,0.863753,0.716314,1.00159,diltiazem,127.5,9
88,37.5218,-87.9578,260.671,227.3,173.91,153.26,74.04,964.77,412.68,54.1431,115.476,61.3294,737.47,0.0778581,0,0,88,0.782019,1.18189,1.05923,1.17119,1.04744,0.712924,0.926494,0.73062,1.25056,diltiazem,127.5,9
89,38.4964,-88.0721,268.94,230.45,178.38,158.13,72.32,1040.84,440.7,37.221,92.0812,54.8589,810.39,0.0783886,0,0,89,0.897718,1.24107,1.04355,1.24079,0.752196,0.702402,1.28529,0.97083,1.0856,diltiazem,127.5,9
91,38.8254,-88.0857,269.766,260.72,206.55,181.15,79.57,954.73,425.86,64.0792,129.714,65.6277,694.01,0.0826482,0,0,91,1.04382,0.825617,0.882673,0.807079,0.94214,1.27992,0.736519,1.02929,1.2617,diltiazem,127.5,9
93,38.1757,-88.0524,266.806,191.33,148.55,130.45,60.88,1008.54,415.86,39.3089,96.148,56.8369,817.21,0.0937146,0,0,93,0.912441,0.889494,0.982506,1.20842,1.22424,1.22686,1.08174,0.925079,1.07763,diltiazem,127.5,9
94,37.5477,-87.9971,263.705,229.17,175.73,153.21,75.96,968.01,414.46,53.0269,115.066,62.0352,738.84,0.0887702,0,0,94,0.977355,0.802499,1.08292,0.919425,1.2445,1.01695,0.848422,0.796427,1.08257,diltiazem,127.5,9
95,37.8192,-88.0502,268.132,206.38,154.76,133.63,72.75,988,412.99,43.7574,105.499,61.7375,781.62,0.0912623,0,0,95,1.23869,0.989784,1.22526,1.12837,0.843285,0.859191,0.774721,0.890247,0.751048,diltiazem,127.5,9
96,38.4461,-88.0731,269.225,236.25,184.57,162.11,74.14,982.73,425.48,51.028,112.427,61.3951,746.48,0.0819596,0,0,96,1.28961,1.04729,1.06626,1.03125,1.0012,1.03145,0.869666,0.992106,1.09152,diltiazem,127.5,9
97,37.598,-87.9645,260.251,266.65,210.61,186.27,80.38,1027.68,451.77,44.187,100.914,56.7249,761.03,0.0764039,0,0,97,1.1872,0.949873,0.907762,0.861534,1.10137,1.01645,1.23585,0.761175,1.18313,diltiazem,127.5,9
98,39.4012,-88.1408,275.728,251.21,191.93,168.72,82.49,1023.27,443.18,42.5838,100.126,57.539,772.06,0.0861254,0,0,98,1.02043,0.854114,0.802317,0.94962,0.764048,0.755886,1.07087,1.15348,1.10401,diltiazem,127.5,9
99,37.7455,-88.031,266.891,203.02,151.01,131.16,71.86,997.18,413.56,41.5954,100.973,59.3744,794.16,0.0915377,0,0,99,0.700144,0.956225,1.15593,1.1672,1.05587,0.73932,0.907989,0.843373,0.886792,diltiazem,127.5,9
100,38.6075,-88.0368,267.708,244.9,182.81,159.48,85.42,938.42,407.97,64.2597,129.999,65.7323,693.52,0.0871574,0,0,100,1.05323,0.759239,0.73078,0.881813,1.16428,0.718128,0.728965,0.865701,1.261,diltiazem,127.5,9
102,38.86,-88.0533,267.534,332.82,264.82,234.89,97.93,1043.75,487.27,49.6294,108.647,59.0142,710.93,0.0622404,0,0,102,0.796737,1.04408,0.777528,0.704732,0.743866,0.881797,1.13559,0.9552,1.29778,diltiazem,127.5,9
103,38.2105,-88.0822,269.124,288.84,230.64,203.66,85.18,1062.13,473.7,39.6827,95.1051,55.4204,773.29,0.0791938,0,0,103,1.27561,0.847819,1.14007,0.720179,1.19505,1.16696,1.2879,1.01753,1.02747,diltiazem,127.5,9
104,39.0396,-88.1764,278.446,194.16,146.52,126.42,67.74,971.76,404.23,46.4421,108.851,62.4038,777.6,0.101851,0,0,104,1.28291,0.732168,1.1654,1.0774,0.711409,1.1238,0.723835,1.25394,0.845607,diltiazem,127.5,9
105,38.8204,-88.1334,275.385,204.31,153.38,133.83,70.48,932.22,392.19,59.699,124.399,64.6937,727.91,0.0956204,0,0,105,1.12124,0.822732,1.17537,1.13752,0.722791,0.828666,0.70642,1.12895,1.17344,diltiazem,127.5,9
106,37.041,-87.9651,260.166,187.21,144.64,126.27,60.94,972.91,401.93,46.2699,106.777,60.5044,785.7,0.0904418,0,0,106,0.829759,1.02213,1.25074,1.25252,1.10775,1.20449,0.875613,0.74758,0.987561,diltiazem,127.5,9
108,39.1424,-88.1548,276.479,214.64,162.73,142.32,72.32,965.27,409.68,51.696,114.377,62.6757,750.63,0.0867097,0,0,108,0.989812,1.11849,1.16652,1.21276,1.13999,0.760988,0.765361,1.20526,1.03884,diltiazem,127.5,9
110,38.9874,-88.0532,267.875,309.83,245.36,218.22,91.61,1049.72,479.24,45.0547,102.004,56.9469,739.89,0.0633385,0,0,110,1.1173,1.14157,0.717695,0.811818,0.955036,0.821413,1.26157,0.954225,1.27102,diltiazem,127.5,9
112,38.9789,-88.0852,269.628,233.78,185.63,164.34,69.44,967.62,421.6,56.0549,118.751,62.6906,733.84,0.0748597,0,0,112,0.71359,1.29044,0.966092,1.17584,0.970603,1.09021,0.837245,1.05862,1.25668,diltiazem,127.5,9
114,37.8769,-88.0303,266.588,200.37,150.06,130.24,70.13,959.8,400.41,50.458,112.896,62.4335,759.43,0.0948964,0,0,114,0.724891,0.800786,1.04628,1.07997,1.22244,0.913602,0.782155,0.847932,0.988917,diltiazem,127.5,9
115,38.2047,-88.0666,267.966,282.9,223.74,195.24,87.66,985.53,445.53,57.1627,122.176,65.0073,702.63,0.0745617,0,0,115,1.28029,1.02011,1.15605,0.74974,1.21726,1.17175,0.726137,0.97781,0.946871,diltiazem,127.5,9
116,38.8497,-88.1609,275.811,262.71,206.69,180.48,82.23,1021.69,449.49,44.7669,103.922,59.1521,758.98,0.0884911,0,0,116,1.12275,0.75453,1.20066,0.756918,1.15842,1.23269,0.951136,1.23703,0.964262,diltiazem,127.5,9
